===== batch learning =====
[054] error:3.000000, param:[-17.834448 -13.380585], count: 1
[055] error:2.999988, param:[-18.852513 40.757749], count: 1
[056] error:3.000000, param:[4.816219 29.678041], count: 1
[057] error:3.000000, param:[40.877139 -23.492037], count: 1
[058] error:3.000000, param:[45.237845 -11.789972], count: 1
[059] error:3.000000, param:[43.419917 -12.482528], count: 1
[060] error:3.000000, param:[49.902984 49.996200], count: 1
[061] error:3.000000, param:[-48.126262 -21.441885], count: 1
[062] error:3.000000, param:[45.219233 -12.155085], count: 1
[063] error:3.000000, param:[47.274341 -13.823465], count: 1
[064] error:3.000000, param:[6.834708 -44.511306], count: 1
[065] error:3.000000, param:[-34.957137 11.535215], count: 1
[066] error:3.000000, param:[-34.942879 31.771289], count: 1
[067] error:3.000000, param:[10.010447 6.509245], count: 1
[068] error:2.999878, param:[-6.271493 19.562538], count: 1
[069] error:3.000000, param:[24.210670 -11.486682], count: 1
[070] error:3.000000, param:[36.802439 -13.875757], count: 1
[071] error:3.000000, param:[13.670414 8.166305], count: 1
[072] error:3.000000, param:[24.276627 39.570585], count: 1
[073] error:2.897125, param:[11.161041 -22.530763], count: 4
[074] error:2.999994, param:[16.283863 -7.004187], count: 1
[075] error:2.999997, param:[-28.938179 27.747909], count: 1
[076] error:3.000000, param:[-9.635521 -14.149847], count: 1
[077] error:3.000000, param:[-12.534643 -44.704678], count: 1
[078] error:3.000000, param:[-18.833808 45.332513], count: 1
[079] error:3.000000, param:[-45.678150 -19.581849], count: 1
[080] error:3.000000, param:[41.730205 49.944245], count: 1
[081] error:3.000000, param:[4.559542 -43.975584], count: 1
[082] error:3.000000, param:[2.453286 43.073474], count: 1
[083] error:3.000000, param:[-43.403644 24.841904], count: 1
[084] error:3.000000, param:[-9.680204 -45.549913], count: 1
[085] error:3.000000, param:[35.942613 -0.058280], count: 1
[086] error:3.000000, param:[7.734110 48.042402], count: 1
[087] error:3.000000, param:[-21.132949 1.637074], count: 1
[088] error:3.000000, param:[-0.280225 23.796909], count: 1
[089] error:3.000000, param:[-24.561068 -17.865782], count: 1
[090] error:3.000000, param:[-33.414237 -30.334325], count: 1
[091] error:3.000000, param:[26.162982 2.614807], count: 1
[092] error:3.000000, param:[4.474543 -34.689112], count: 1
[093] error:3.000000, param:[-30.557884 -19.489925], count: 1
[094] error:3.000000, param:[-48.688667 -7.409690], count: 1
[095] error:3.000000, param:[-21.413986 -2.851394], count: 1
[096] error:3.000000, param:[15.074161 19.350734], count: 1
[097] error:2.999999, param:[16.954201 -5.462728], count: 1
[098] error:3.000000, param:[26.566684 22.394746], count: 1
[099] error:3.000000, param:[13.887680 7.104363], count: 1
[100] error:3.000000, param:[-10.722778 -31.003320], count: 1
[101] error:0.754531, param:[14.497238 -21.405979], count: 1654
[102] error:3.000000, param:[-35.824585 33.772366], count: 1
[103] error:2.989919, param:[41.909514 -45.575162], count: 1
[104] error:0.738178, param:[12.280940 -18.123524], count: 1150
[105] error:3.000000, param:[-33.804886 13.821759], count: 1
[106] error:3.000000, param:[28.738428 -17.911344], count: 1
[107] error:2.999999, param:[-7.489103 -4.276780], count: 1
[108] error:3.000000, param:[-20.882804 5.138146], count: 1
[109] error:3.000000, param:[-44.037203 23.788038], count: 1
[110] error:3.000000, param:[-35.512755 -40.840254], count: 1
[111] error:3.000000, param:[-47.051808 -36.136536], count: 1
[112] error:2.999976, param:[19.815090 -45.775034], count: 1
[113] error:3.000000, param:[16.524729 12.383957], count: 1
[114] error:3.000000, param:[-37.125742 -2.589692], count: 1
[115] error:3.000000, param:[-16.667674 -29.754380], count: 1
[116] error:0.743385, param:[13.158700 -19.424152], count: 5134
[117] error:3.000000, param:[-42.230844 40.002077], count: 1
[118] error:3.000000, param:[25.600780 38.881740], count: 1
[119] error:3.000000, param:[-22.643195 -34.439745], count: 1
[120] error:2.995197, param:[-12.759177 24.353228], count: 26
[121] error:2.999951, param:[7.328442 -23.750866], count: 1
[122] error:3.000000, param:[13.140911 5.798955], count: 1
[123] error:2.999997, param:[9.951274 -31.100358], count: 1
[124] error:2.999769, param:[19.835948 -43.537102], count: 1
[125] error:3.000000, param:[-38.019222 -13.280436], count: 1
[126] error:2.999509, param:[-15.692205 29.838542], count: 12
[127] error:3.000000, param:[-26.908327 -25.117876], count: 1
[128] error:2.999736, param:[26.181193 -22.866442], count: 1
[129] error:3.000000, param:[28.703411 9.154443], count: 1
[130] error:3.000000, param:[-44.283525 8.859600], count: 1
[131] error:3.000000, param:[-19.377484 1.808525], count: 1
[132] error:3.000000, param:[4.840734 19.139040], count: 1
[133] error:3.000000, param:[20.408695 49.941896], count: 1
[134] error:0.852377, param:[21.677375 -32.719058], count: 6
[135] error:3.000000, param:[-20.228722 -20.385417], count: 1
[136] error:3.000000, param:[30.712493 -5.730423], count: 1
[137] error:3.000000, param:[0.228700 -44.563339], count: 1
[138] error:2.999928, param:[-14.563147 15.484667], count: 27
[139] error:2.999998, param:[-14.827031 7.441895], count: 1
[140] error:3.000000, param:[39.032695 43.770503], count: 1
[141] error:3.000000, param:[-9.330143 -4.081538], count: 1
[142] error:3.000000, param:[39.487157 4.086303], count: 1
[143] error:3.000000, param:[-35.237364 21.235218], count: 1
[144] error:3.000000, param:[-21.992544 4.956405], count: 1
[145] error:3.000000, param:[44.413848 25.505948], count: 1
[146] error:3.000000, param:[33.776297 -6.824257], count: 1
[147] error:0.742169, param:[12.980705 -19.159437], count: 3505
[148] error:2.993570, param:[-12.314472 12.589146], count: 2
[149] error:2.999909, param:[-13.078228 8.665871], count: 1
[150] error:3.000000, param:[-31.361812 4.941370], count: 1
[151] error:3.000000, param:[-41.344007 31.684058], count: 1
[152] error:0.739674, param:[12.572268 -18.551809], count: 2874
[153] error:3.000000, param:[-29.531357 -17.608895], count: 1
[154] error:3.000000, param:[-13.404674 -24.969202], count: 1
[155] error:3.000000, param:[25.735522 23.365966], count: 1
[156] error:3.000000, param:[-48.989165 -44.885623], count: 1
[157] error:2.999998, param:[19.363351 -47.606060], count: 1
[158] error:3.000000, param:[39.117858 46.018975], count: 1
[159] error:3.000000, param:[3.068071 18.358444], count: 1
[160] error:3.000000, param:[-30.625519 -40.625312], count: 1
[161] error:2.973142, param:[10.058682 -22.041794], count: 2
[162] error:3.000000, param:[-4.783227 43.125749], count: 1
[163] error:3.000000, param:[47.921025 -30.821020], count: 1
[164] error:3.000000, param:[-29.144972 -20.237113], count: 1
[165] error:3.000000, param:[-43.673524 -15.818650], count: 1
[166] error:3.000000, param:[49.305103 31.287240], count: 1
[167] error:2.999998, param:[-21.631959 17.224847], count: 1
[168] error:3.000000, param:[11.466036 -40.154807], count: 1
[169] error:3.000000, param:[-12.505391 -18.563009], count: 1
[170] error:2.996362, param:[0.351016 -7.969309], count: 3
[171] error:3.000000, param:[14.439069 13.936397], count: 1
[172] error:0.742843, param:[13.081586 -19.307493], count: 4597
[173] error:3.000000, param:[9.540624 46.864138], count: 1
[174] error:3.000000, param:[-26.869289 -48.877913], count: 1
[175] error:3.000000, param:[-20.849030 -33.269199], count: 1
[176] error:3.000000, param:[-41.613193 -44.841386], count: 1
