===== batch learning =====
[080] error:3.000000, param:[-40.798369 -25.835240], count: 1
[081] error:3.000000, param:[16.335054 0.400806], count: 1
[082] error:3.000000, param:[-39.886092 13.486344], count: 1
[083] error:3.000000, param:[-21.088209 7.185382], count: 1
[084] error:0.741720, param:[9.348467 -13.779935], count: 3682
[085] error:3.157519, param:[-28.545890 34.353360], count: 1
[086] error:3.000000, param:[29.720942 7.984324], count: 1
[087] error:3.000000, param:[-4.775254 41.970434], count: 1
[088] error:3.000000, param:[47.170293 26.712310], count: 1
[089] error:3.000000, param:[11.959765 33.510940], count: 1
[090] error:3.000000, param:[40.826275 37.093078], count: 1
[091] error:3.000000, param:[12.338757 32.654913], count: 1
[092] error:3.000000, param:[32.546002 5.894556], count: 1
[093] error:3.000000, param:[-4.047541 -26.690581], count: 1
[094] error:0.897655, param:[27.232025 -40.112452], count: 1
[095] error:3.000000, param:[-49.525241 -3.374760], count: 1
[096] error:3.000000, param:[-32.929820 12.927326], count: 1
[097] error:3.000000, param:[-29.981162 -26.404310], count: 1
[098] error:3.000000, param:[22.785055 -6.358314], count: 1
[099] error:3.000000, param:[32.677560 24.200663], count: 1
[100] error:3.000000, param:[-39.286223 4.132530], count: 1
[101] error:2.992781, param:[13.595330 -10.726758], count: 1
[102] error:3.000000, param:[14.430836 38.405717], count: 1
[103] error:3.000000, param:[-8.354131 -17.048766], count: 1
[104] error:3.000000, param:[35.721662 19.605195], count: 1
[105] error:3.000000, param:[13.036691 37.002341], count: 1
[106] error:1.117115, param:[22.033072 -29.616075], count: 1
[107] error:3.000000, param:[-24.743586 19.752219], count: 1
[108] error:3.000000, param:[40.960493 -4.572294], count: 1
[109] error:3.000000, param:[38.043907 6.160851], count: 1
[110] error:3.000000, param:[36.358478 -7.991100], count: 1
[111] error:3.000000, param:[48.403758 -17.189758], count: 1
[112] error:3.000000, param:[38.919276 35.731289], count: 1
[113] error:3.000000, param:[26.813454 16.682536], count: 1
[114] error:3.014051, param:[-14.094029 15.705330], count: 53
[115] error:3.000000, param:[-3.295312 21.854828], count: 1
[116] error:3.000000, param:[38.956949 33.495318], count: 1
[117] error:3.000000, param:[-43.509707 -9.962290], count: 1
[118] error:3.000000, param:[-1.216893 20.567314], count: 1
[119] error:3.000000, param:[38.872352 26.738909], count: 1
[120] error:3.000000, param:[-47.831714 -21.013845], count: 1
[121] error:3.000000, param:[-21.793501 49.883553], count: 1
[122] error:3.000000, param:[-14.972867 -0.426977], count: 1
[123] error:3.000000, param:[23.917466 9.332749], count: 1
[124] error:3.000000, param:[-8.403421 -8.573489], count: 1
[125] error:3.000000, param:[-27.561060 13.634044], count: 1
[126] error:0.738530, param:[9.762560 -14.394463], count: 4922
[127] error:3.000000, param:[-26.111257 -13.712938], count: 1
[128] error:3.054797, param:[-25.478970 29.811755], count: 1
[129] error:3.000000, param:[-28.486285 -11.835734], count: 1
[130] error:3.000000, param:[-46.703198 27.093819], count: 1
[131] error:0.739364, param:[9.641222 -14.209607], count: 2412
[132] error:2.999970, param:[12.616427 -33.205791], count: 1
[133] error:3.000000, param:[-44.333576 1.836209], count: 1
[134] error:3.000000, param:[-0.915021 -39.553546], count: 1
[135] error:3.000000, param:[-44.394759 -26.248175], count: 1
[136] error:3.000000, param:[-25.902645 -20.123111], count: 1
[137] error:3.000000, param:[-8.924041 -22.960612], count: 1
[138] error:3.000000, param:[21.553321 37.696851], count: 1
[139] error:3.000000, param:[33.259511 43.605436], count: 1
[140] error:3.000000, param:[-35.619275 24.572645], count: 1
[141] error:3.000000, param:[35.673115 26.643965], count: 1
[142] error:3.000000, param:[45.751047 13.011218], count: 1
[143] error:3.000000, param:[-31.534362 13.216832], count: 1
[144] error:0.749130, param:[8.701928 -12.822648], count: 2775
[145] error:2.999967, param:[29.339109 -24.632958], count: 1
[146] error:3.000000, param:[18.252911 45.568929], count: 1
[147] error:3.000000, param:[37.861805 -12.493791], count: 1
[148] error:2.488367, param:[32.707418 -39.044191], count: 1
[149] error:3.000000, param:[-41.758151 14.000717], count: 1
[150] error:3.000000, param:[21.459312 41.332322], count: 1
[151] error:3.000000, param:[-6.413879 -30.133442], count: 1
[152] error:2.999998, param:[39.151090 -33.878978], count: 1
[153] error:3.000000, param:[0.019383 -22.609246], count: 1
[154] error:3.000000, param:[-31.159963 -24.970773], count: 1
[155] error:3.000000, param:[4.712815 13.116589], count: 1
[156] error:3.000000, param:[1.180105 26.015482], count: 1
[157] error:3.000000, param:[47.226423 -16.819617], count: 1
[158] error:3.000000, param:[9.062629 23.406359], count: 1
[159] error:3.000000, param:[-30.063515 1.091012], count: 1
[160] error:3.000000, param:[27.667588 43.059339], count: 1
[161] error:3.000000, param:[1.555655 18.521855], count: 1
[162] error:3.000000, param:[-49.943054 24.567943], count: 1
[163] error:0.980988, param:[30.228531 -42.020730], count: 1
[164] error:3.000000, param:[9.178724 22.884172], count: 1
[165] error:3.000000, param:[-37.585966 20.769146], count: 1
[166] error:3.000000, param:[29.158646 9.078813], count: 1
[167] error:3.000000, param:[15.041114 -42.174876], count: 1
